category,product_name,product_id,package_size,standard_unit,unit_quantity
Eggs,Kroger Grade A Large White Eggs,0001111060903,12 ct,dozen,1
Milk,Kroger Vitamin D Whole Milk,0001111040101,1 gal,gallon,1
Bread,Kroger White Bread,0001111008485,20 oz,pound,1.25
Butter,Kroger Salted Butter Sticks,0001111089301,16 oz,pound,1
Bananas,Fresh Bunch of Bananas,0000000004011,1 lb,pound,1
Chicken Breast,Heritage Farm Boneless Skinless Chicken Breasts,0028334900000,1 lb,pound,1
Ground Beef,Kroger 80/20 Ground Beef Tray,0001111069982,1 lb,pound,1
Rice,Kroger Enriched Long Grain White Rice,0001111089875,32 oz,pound,2
Pasta,Kroger Spaghetti,0001111085004,16 oz,pound,1
Coffee,Kroger Breakfast Blend Ground Coffee,0001111010738,11 oz,pound,0.6875
Sugar,Kroger Pure Cane Granulated Sugar,0001111088318,4 lb,pound,4
Flour,Kroger Bleached All Purpose Flour,0001111085402,5 lb,pound,5
Potatoes,Russet Potato,0000000004072,1 lb,pound,1
Tomatoes,Fresh Roma Tomato,0000000004087,1 lb,pound,1
Cheddar Cheese,Kroger Medium Cheddar Block Cheese,0001111058626,8 oz,pound,0.5
Orange Juice,Kroger 100% Orange Juice Pulp Free,0001111048480,1/2 gal,gallon,0.5
Cereal,Kroger Bite Size Frosted Shredded Wheat Cereal,0001111086705,18 oz,pound,1.125
Peanut Butter,Kroger Creamy Peanut Butter,0001111001618,16 oz,pound,1
Vegetable Oil,Kroger 100% Pure Vegetable Oil,0001111085605,48 fl oz,gallon,0.375
Onions,Jumbo Yellow Onions,0000000004093,1 lb,pound,1
Apples,Large Gala Apple,0000000004134,1 lb,pound,1
Potato Chips,Kroger Classic Potato Chips,0001111008889,8 oz,pound,0.5
